Period,NationalTV1,NationalTV2,Magazine1,Magazine2,PaidSearch1,PaidSearch2,Display1,Display2,Facebook1,Facebook2,Wechat1,Wechat2,CCI,Sales Event,Comp Media Spend,Sales,DisplayAlwaysOnImpression,DisplayBrandingImpression,DisplayWebsiteImpression,DisplayHolidayImpression,SearchBrandingclicks,SearchAlwasyOnclicks,SearchWebsiteclicks,FacebookBrandingImpressions,FacebookHolidayImpressions,FacebookOtherImpressions
11/2/2015,26.1984861,9.668536083,3.844320555,11.52526999,353726.1989,7866.868934,1161348.26,36818566,1066805.374,17147335.2,751.2197183,944.9191459,91.3,1,35334,243124,15043319,10697388,0,11077859,55406,155110,141659,0,34285185,0
11/9/2015,25.36591824,8.802358806,4.984783488,12.67767573,341035.1199,7656.951684,1074009.278,33698435,1434661.233,34285184.7,842.992128,1649.691915,91.3,1,35334,255674,18225744,5953518,0,9519173,36219,256212,47194,0,49651995,0
11/16/2015,26.70276598,8.62912335,5.326922368,12.79291631,341871.112,7463.650786,1106545.739,36219103,1808280.415,49651995.12,1018.413077,1817.369191,91.3,1,35334,266210,17283713,10133963,0,8801427,152491,126239,63234,0,66310488,0
11/23/2015,28.46196498,8.932397022,5.429564032,12.80444036,368075.4112,7476.577648,1128828.273,37021776,297333.9646,66310487.88,2098.530609,2255.336919,91.3,1,35334,290384,14316562,14985397,0,7719817,94768,224190,52029,0,6943135,0
11/30/2015,28.81380478,9.320721328,5.460356532,12.80559277,332929.1411,7872.800905,1141190.201,37425336,736528.1944,6943135.68,1340.898792,5279.933692,92.6,1,35334,479502,17319786,9202743,0,10902807,52341,203447,73236,0,21576784,0
12/7/2015,28.38811887,9.398386189,5.862030395,14.62097936,400399.3141,7338.192821,1287652.661,44923126,1055073.084,21576784.32,1106.034501,2795.993369,92.6,1,35197,259923,23974654,4569398,5982598,10396476,175352,180554,51990,0,33814516,0
12/14/2015,27.80571632,9.305768823,5.982532554,14.80251802,318785.2314,8348.069107,1204119.408,39024672,974967.3008,33814516.32,1094.885664,2320.799337,92.6,1,35197,262578,21340650,0,8222042,9461980,92061,191065,26591,0,30636389,0
12/21/2015,25.68736429,9.178034595,6.018683202,14.82067189,323838.5231,7114.205342,1218565.902,40636647,1024936.679,30636388.12,1128.317393,2370.479934,92.6,0,35197,233877,13278401,5771628,5872471,15714147,113381,185771,25248,0,32611539,0
12/28/2015,34.60993425,8.704258508,6.029528396,14.82248727,279635.4523,7197.751448,1207093.738,39891913,721980.9213,32611538.96,591.4342197,2472.647993,92,0,35197,226238,11896590,14908703,0,13086620,36235,180857,57632,0,21045398,0
1/4/2016,38.79521947,10.59827909,5.363147993,11.77957901,320489.6452,6493.686743,1274891.594,43552326,503118.2434,21045398.4,429.6320933,1059.964799,92,0,35237,226205,22299033,1697908,19555385,0,57530,182053,85446,13399469,0,0
1/11/2016,41.53844641,11.4517849,5.163233872,11.47528818,327869.9645,7144.500764,1151846.865,36479469,605205.8595,13399468.8,410.9707904,785.4964799,92,0,35237,219642,17715708,0,18763761,0,72922,192899,62869,16880252,0,0
1/18/2016,40.65862439,11.99094301,5.103259636,11.4448591,344755.7965,7260.707108,1207186.933,40588625,593109.9681,16880251.2,453.4287182,791.349648,92,0,35237,222857,17297894,10057200,13233531,0,91926,160659,94047,16459590,0,0
1/25/2016,40.95957996,11.8233303,5.085267365,11.44181619,332168.5796,7520.462191,1192959.376,39279057,914935.1694,16459590.6,454.268423,905.3349648,92,0,35237,222294,21566792,6337619,11374646,0,110037,175289,45444,28296837,0,0
2/1/2016,41.01977107,11.88221241,5.079869684,11.4415119,369256.158,7327.273793,1080780.647,33720913,791333.4675,28296837.6,502.2532459,897.8334965,91.7,0,20310,234096,18079513,9308049,6333351,0,55197,243487,74693,23602033,0,0
